station,avg_boardings_per_day,latitude,longitude,agency
Neptune Av (F),855.0,40.581013,-73.97457,NYC Subway
Jamaica-179 St (F),12138.0,40.712646,-73.78381,NYC Subway
169 St (F),4610.0,40.71047,-73.7936,NYC Subway
Parsons Blvd (F),4256.0,40.707565,-73.80333,NYC Subway
Sutphin Blvd (F),2602.0,40.70546,-73.81071,NYC Subway
"Briarwood (E,F)",3281.0,40.70918,-73.82057,NYC Subway
"Kew Gardens-Union Tpke (E,F)",12850.0,40.71444,-73.83101,NYC Subway
"DeKalb Av (B,Q,R)",9720.0,40.690636,-73.98183,NYC Subway
"75 Av (E,F)",1806.0,40.71833,-73.837326,NYC Subway
"Forest Hills-71 Av (E,F,M,R)",13350.0,40.72169,-73.84452,NYC Subway
"67 Av (M,R)",4658.0,40.726524,-73.85272,NYC Subway
"63 Dr-Rego Park (M,R)",7816.0,40.729847,-73.8616,NYC Subway
"Woodhaven Blvd (M,R)",9939.0,40.733105,-73.86923,NYC Subway
"Grand Av-Newtown (M,R)",11432.0,40.737015,-73.87722,NYC Subway
"Elmhurst Av (M,R)",7401.0,40.742455,-73.88202,NYC Subway
"65 St (M,R)",1923.0,40.74967,-73.89845,NYC Subway
"Northern Blvd (M,R)",3585.0,40.752884,-73.906006,NYC Subway
"46 St (M,R)",3899.0,40.756313,-73.91333,NYC Subway
"Steinway St (M,R)",5640.0,40.756878,-73.92074,NYC Subway
"36 St (M,R)",1328.0,40.75204,-73.92878,NYC Subway
"Queens Plaza (E,M,R)",8140.0,40.748974,-73.93724,NYC Subway
"5 Av/53 St (E,M)",3782.0,40.760166,-73.97523,NYC Subway
"7 Av (E,B,D)",4056.0,40.762863,-73.981636,NYC Subway
"Jamaica Center-Parsons/Archer (E,J,Z)",18000.0,40.70215,-73.80111,NYC Subway
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",14121.0,40.700485,-73.80797,NYC Subway
Union St (R),2996.0,40.677315,-73.98311,NYC Subway
Jamaica-Van Wyck (E),2556.0,40.702564,-73.81686,NYC Subway
21 St (G),506.0,40.744064,-73.94972,NYC Subway
Greenpoint Av (G),3893.0,40.731354,-73.95445,NYC Subway
Nassau Av (G),3639.0,40.724636,-73.95128,NYC Subway
Broadway (G),1867.0,40.706093,-73.95031,NYC Subway
Flushing Av (G),1130.0,40.70038,-73.95023,NYC Subway
Myrtle-Willoughby Avs (G),2491.0,40.69457,-73.94904,NYC Subway
Bedford-Nostrand Avs (G),4019.0,40.68963,-73.95352,NYC Subway
Classon Av (G),2589.0,40.688873,-73.96007,NYC Subway
Clinton-Washington Avs (G),2130.0,40.688087,-73.96684,NYC Subway
Fulton St (G),2142.0,40.68712,-73.97537,NYC Subway
Van Cortlandt Park-242 St (1),3582.0,40.889248,-73.89858,NYC Subway
238 St (1),2424.0,40.884666,-73.90087,NYC Subway
231 St (1),4405.0,40.878857,-73.90483,NYC Subway
Marble Hill-225 St (1),2398.0,40.87456,-73.90983,NYC Subway
215 St (1),1117.0,40.869446,-73.915276,NYC Subway
207 St (1),3046.0,40.86462,-73.91882,NYC Subway
Dyckman St (1),3897.0,40.86053,-73.92554,NYC Subway
"30 Av (N,W)",7063.0,40.76678,-73.92148,NYC Subway
Prospect Av (R),2979.0,40.665413,-73.992874,NYC Subway
191 St (1),4024.0,40.855225,-73.92941,NYC Subway
181 St (1),5644.0,40.849506,-73.93359,NYC Subway
157 St (1),5128.0,40.83404,-73.94489,NYC Subway
145 St (1),4396.0,40.82655,-73.95036,NYC Subway
137 St-City College (1),6936.0,40.822006,-73.953674,NYC Subway
125 St (1),3512.0,40.815582,-73.958374,NYC Subway
116 St-Columbia University (1),3921.0,40.80772,-73.96411,NYC Subway
Cathedral Pkwy (110 St) (1),5134.0,40.803967,-73.96685,NYC Subway
103 St (1),5366.0,40.799446,-73.968376,NYC Subway
25 St (R),1682.0,40.660397,-73.99809,NYC Subway
"96 St (1,2,3)",13878.0,40.79392,-73.97232,NYC Subway
86 St (1),6904.0,40.788643,-73.97622,NYC Subway
79 St (1),4989.0,40.783936,-73.97992,NYC Subway
"72 St (1,2,3)",13636.0,40.778454,-73.98197,NYC Subway
66 St-Lincoln Center (1),7436.0,40.77344,-73.98221,NYC Subway
50 St (1),6342.0,40.761726,-73.98385,NYC Subway
"34 St-Penn Station (1,2,3)",30307.0,40.750374,-73.99106,NYC Subway
28 St (1),4186.0,40.747215,-73.99336,NYC Subway
"36 St (D,N,R)",6124.0,40.655144,-74.00355,NYC Subway
23 St (1),4118.0,40.74408,-73.99566,NYC Subway
18 St (1),2254.0,40.74104,-73.99787,NYC Subway
Christopher St-Sheridan Sq (1),3358.0,40.73342,-74.00291,NYC Subway
Houston St (1),3124.0,40.728252,-74.00536,NYC Subway
Canal St (1),1274.0,40.722855,-74.00628,NYC Subway
Franklin St (1),1570.0,40.71932,-74.00689,NYC Subway
"Chambers St (1,2,3)",5122.0,40.715477,-74.00927,NYC Subway
WTC Cortlandt (1),4775.0,40.711834,-74.01219,NYC Subway
Rector St (1),2873.0,40.70751,-74.01379,NYC Subway
45 St (R),4247.0,40.648937,-74.01001,NYC Subway
"Wall St (2,3)",4702.0,40.70682,-74.0091,NYC Subway
"Clark St (2,3)",2591.0,40.697468,-73.99309,NYC Subway
"Hoyt St (2,3)",2606.0,40.690544,-73.98506,NYC Subway
"Nevins St (2,3,4,5)",3440.0,40.688248,-73.98049,NYC Subway
"Bergen St (2,3)",2174.0,40.68083,-73.9751,NYC Subway
53 St (R),4743.0,40.64507,-74.01403,NYC Subway
"Grand Army Plaza (2,3)",3237.0,40.675236,-73.97105,NYC Subway
"Eastern Pkwy-Brooklyn Museum (2,3)",1875.0,40.671986,-73.96438,NYC Subway
Nostrand Av (3),1646.0,40.669846,-73.95046,NYC Subway
Kingston Av (3),2099.0,40.6694,-73.94216,NYC Subway
"Crown Hts-Utica Av (3,4)",13888.0,40.668896,-73.932945,NYC Subway
Sutter Av-Rutland Rd (3),3777.0,40.66472,-73.92261,NYC Subway
Saratoga Av (3),2922.0,40.661453,-73.91633,NYC Subway
Rockaway Av (3),2745.0,40.662548,-73.90894,NYC Subway
Junius St (3),1152.0,40.663513,-73.90245,NYC Subway
"59 St (N,R)",7190.0,40.64136,-74.01788,NYC Subway
Pennsylvania Av (3),2150.0,40.664635,-73.8949,NYC Subway
Van Siclen Av (3),1396.0,40.665447,-73.8894,NYC Subway
New Lots Av (3),3078.0,40.666237,-73.88408,NYC Subway
